drug_id,drug_CID,drug_smile
0,CID100000085,CCOC(=O)C1(CC1S(=O)(=O)C2=CC=C(C=C2)Cl)N
1,CID100000206,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=CC=C3
2,CID100000444,CC1=C(C=C(C=C1)C(C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl)C
3,CID100000853,COCC1(C(C1S(=O)(=O)C)C2=CC=CC=C2)C(=O)O
4,CID100000937,CC1=CC(=CC=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC=CC=C3C
5,CID100000942,CS(=O)(=O)C1C(C1C(=S)N)C2=CC=CC=C2
6,CID100001983,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(CN)CN)C3=CC=CC=C3
7,CID100002162,CC1=CC2=C(C(CC(=O)O2)C3=CC4=CC=CC=C4N(C3=O)CC(C)C)C(=O)O1
8,CID100002244,CC1=CC(=CC=C1)C2=NOC(=N2)CN(C)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
9,CID100002250,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2C(=S)N)C3=CC=CC=C3
10,CID100002462,C1=CC=C(C=C1)C2C(C2(CN)C(=O)O)S(=O)(=O)C3=CC=C(C=C3)Cl
11,CID100002524,C1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)CN
12,CID100002585,C1CC2=C(C1)NC(=O)C(=C2)C(=O)NC3CC(=O)N(C3)CC4=CC=CC=C4
13,CID100002771,CCOC(=O)C1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)C#N
14,CID100002803,CC1=CC(=C(C(=O)O1)C(CC(=O)OC)C2=CC=CC=C2)O
15,CID100002806,CC1=CC(=C(C(=O)O1)C(CC(=O)OC)C2=CC=CC=C2)O
16,CID100003016,CCOCC1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)CN
17,CID100003043,CC1=CN=C(C=C1)C(C)NC(=O)CC2=CSC=C2
18,CID100003062,C1CCC2=C(CC1)NN=C2C(=O)N3CCCCC3C4=CN=CC=C4
19,CID100003075,CC1=CC=C(C=C1)C2=NOC(=N2)CN(C)C(=O)C(C)SCC3=CC=CC=C3
20,CID100003121,CC(C)C1=CC=C(C=C1)CCCNC(=O)C(C)SCC2=CC=CC=C2
21,CID100003348,CC1=CC2=C(C=C1)C(CC(O2)(C)C)NC(=O)CCSC3=CC=CC=C3
22,CID100003365,CCOC(=O)C1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)CN
23,CID100003405,CC1=CC(=C(C=C1)C)CC(=O)NC(C2=CN=CC=C2)C(C)C
24,CID100003440,CC(C)C1=NN=C(S1)N2CCN3C(=CC(=N3)C(C4=NC=CN4C)O)C2
25,CID100003446,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)N3CCCCC3C4=CN=CC=C4
26,CID100003478,C1C2CN(CC1C3=CC=CC(=O)N3C2)C(=O)CN4CC5=CC=CC=C5C4=O
27,CID100003696,COC1=CC=C(C=C1)C2C(C2(C=O)C#N)S(=O)(=O)C3=CC=CC=C3
28,CID100003878,COC1=CC(=CC2=C1OCO2)C(CC(=O)OC)C3=C(C(=O)C=C(O3)CN4CC5CC(C4)C6=CC=CC(=O)N6C5)O
29,CID100003883,COC1=C(C=C(C=C1)Cl)NC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
30,CID100003937,COC(=O)CC(C1=CC2=C(C=C1)OCO2)C3=C(C(=O)C=C(O3)CN4CC5CC(C4)C6=CC=CC(=O)N6C5)O
31,CID100003957,COC1=CC=C(C=C1)C2C(C2(CO)N)S(=O)(=O)C3=CC=CC=C3
32,CID100003958,CC(=O)OC1=C(C=C(C=C1OC)C2CC(=O)OC3=C2C4=C(C=C3)C(=O)C(=CC5=CC(=C(C=C5OC)OC)OC)O4)OC
33,CID100004168,CC1CCN(CC1)C2=CC=C(C=C2)C(C)NC(=O)C(=CC3=CC=CO3)C4=CC=CC=C4
34,CID100004171,CN1C2=CC=CC=C2C=C1C(=O)N3CCCCC3C4=CN=CC=C4
35,CID100004205,C1C2CC(C1C=C2)CNC(=O)CCC3=NC(=NO3)C4=CC=NC=C4
36,CID100004510,C1CN(CC1O)C2=NC=NC(=C2)C3CC(C3)NC(=O)CC4=CC=CS4
37,CID100004543,C1CC(NC1=O)(CCC(=O)NCC2=CC3=C(N2)C=CC(=C3)F)CCC(=O)O
38,CID100004583,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3CC(=O)OC4=C3C5=C(C=C4)C(=O)C(=CC6=C(C(=CC=C6)OC)OC)O5
39,CID100004594,CC1(CC(C2=C(O1)C=C(C=C2)OC)NC(=O)CSCC3=CC=C(C=C3)OC)C
40,CID100004634,CC1=CC(=CC=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC=C(C=C3)OC
41,CID100004679,C1C(C2=C(C=CC3=C2OC(=CC4=CN=CC=C4)C3=O)OC1=O)C5=CC=NC=C5
42,CID100004740,CC1=CC=C(C=C1)OCC(C)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl
43,CID100004829,CCC(C1CC(C1)O)NS(=O)(=O)C2=CC3=C(C=C2)OC(=O)N3C
44,CID100004894,COC1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)CO
45,CID100005038,CN(CC1=NC(=NO1)C2=CC=CC=C2Cl)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Cl
46,CID100005039,CC1=CC2=C(C(CC(=O)O2)C3=CC4=C(C=C3)OCO4)C(=O)O1
47,CID100005073,CS(=O)(=O)C1C(C1(C=O)C#N)C2=CC3=C(C=C2)OCO3
48,CID100005076,CN1C=C(C=N1)C(CC(=O)OC)C2=C(C(=O)C=C(O2)CN3CCCCC3)O
49,CID100005267,CC1=C(C=CC(=C1)C(=O)NCCCN2CCCC3=CC=CC=C32)[N+](=O)[O-]
50,CID100005408,CC1=CC=C(C=C1)SC(C)C(=O)NC(C)COC2=CC=CC=C2C
51,CID100005514,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C(C)SC2=CC=C(C=C2)C
52,CID100005732,CC1CCN(CC1)C2=CC=C(C=C2)C(C)NC(=O)CCSC3=CC=C(C=C3)C
53,CID100027661,CC1=CC(=CC(=C1Br)C)OCC(=O)NCCCC2=CC=CC=C2Cl
54,CID100054454,CC(C(=O)NC1=CC(=CC=C1)OC)N(C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C
55,CID100059708,CN1CCC(C1)NC(=O)C2=CN=C(N=C2)SC
56,CID100150311,CC1=CC(=C(N1C2=CC=CC=C2C(F)(F)F)C)C3C(NC(=S)N3C(C)C)C4=CC=CC=N4
57,CID103085017,CC(C)CNC(C)C1=NN=NN1C2=CC(=C(C=C2Cl)Cl)Cl
58,CID100001972,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=CC=C3)N
59,CID100002022,CN(C)S(=O)(=O)C1=CC2=C(C=C1)N(CC2)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
60,CID100002083,CC(C)C1=CC=C(C=C1)C(CC(=O)OC)C2=C(C(=O)C=C(O2)CN3CC4CC(C3)C5=CC=CC(=O)N5C4)O
61,CID100002265,COC1=CC=C(C=C1)C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC(=CC=C5)OCCC6=CC7=C(C=C6)OCC7
62,CID100002274,C1=CC=C(C=C1)C2C(C2(C#N)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
63,CID100002622,CC(C)C(=O)NC1=CN=C(C=C1)SCC2CCCN3C2CCCC3
64,CID100002650,CC(C1=NN2CCN(CC2=C1)C(=O)CC3=C(CCC3=O)C4=CC=CC=C4)O
65,CID100002656,CC1=CC(=C(C(=O)O1)C(CC(=O)O)C2=CC(=C(C=C2)OC)O)O
66,CID100002764,CC1=CC(=O)OC2=C3C(CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC(=C(C(=C4)F)F)F
67,CID100002907,CN(CC1CC2=CC=CC=C2O1)C(=O)COC3=NN4C=NN=C4C=C3
68,CID100002909,CCOC(=O)C1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)CN
69,CID100003325,CC1CCN(CC1)C2=CC=C(C=C2)C(C)NC(=O)CCSC3=CC=CC=C3
70,CID100003367,CC1=CC2=C(C(CC(=O)O2)C3=CC4=C(C=C3)OCCO4)C(=O)N1CCC5=CC=C(C=C5)O
71,CID100003454,CCOCC1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)CN
72,CID100003467,COC1=CC(=CC2=C1OCCO2)C3CC(=O)OC4=C3C5=C(C=C4)C(=O)CC6(O5)CCCCC6
73,CID100003640,COC(=O)CC(C1=CC2=C(C(=C1)Cl)OCO2)C3=C(C(=CNC3=O)C(=O)OC)O
74,CID100003929,CC1=CC(=C2C(=C1)C=C(C(=O)N2)C3CC(=O)OC4=CC(=C(C(=C34)OC)OC)OC)C
75,CID100004159,CC1=CC=C(C=C1)OCC(C)NC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
76,CID100004173,CC1CCCN(C1)C2=CC=C(C=C2)C(C)NC(=O)C(=CC3=CC=CO3)C4=CC=CC=C4
77,CID100004253,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2C3=CC=C(C=C3)OC)C#N
78,CID100004595,COC1=CC=C(C=C1)C2C(C2(C=O)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
79,CID100004900,COC1=CC=C(C=C1)C2C(C2(C(=O)O)N)S(=O)(=O)C3=CC=C(C=C3)Cl
80,CID100004943,COCC1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OC)N
81,CID100005372,CC(C(=O)OC)NC(=O)C(C)(C)OC1=CC=C(C=C1)C2CC2(Cl)Cl
82,CID100005645,CC1=CC=C(C=C1)SC(C)C(=O)NCCCC2=CC=C(C=C2)C(C)C
83,CID100005651,CCS(=O)(=O)C1C(C1C2=CC3=C(C=C2)OCO3)CN
84,CID100000143,COC1=C(C(=C(C=C1)C2CC(=O)OC3=CC(=C(C(=C23)OC)OC)OC)OC)OC
85,CID100000450,C1C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=S)N
86,CID100000453,CCC(C1=CC(=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl
87,CID100000581,CN1C2=CC=CC=C2C=C(C1=O)C3CC(=O)OC4=C3C5=C(C=C4)C(=O)C(=CC6=C(C(=CC=C6)OC)OC)O5
88,CID100000596,CS(=O)(=O)C1C(C1C2=CC=CC=C2)C#N
89,CID100000598,CC1=CC2=C(C(CC(=O)O2)C3=C(C(=CC=C3)OC)OCCC4=CC=CC=C4)C(=O)O1
90,CID100001690,COC1=CC=C(C=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC(=CC=C3)Cl
91,CID100001775,COC1=CC=CC=C1CCCNC(=O)CSCC2=CC=C(C=C2)Cl
92,CID100001971,C1CN(CCC1O)C2=NC(=NC=C2)NC(C3CC(C3)O)C4=CC=CC=N4
93,CID100001978,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(CN)CN)C3=CC=CC=C3
94,CID100001986,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(CN)CN)C3=CC=CC=C3
95,CID100002019,C1CC2(CCC1NC(CC3=CC=CC=N3)C4CC(C4)O)CCNCC2
96,CID100002088,CC(C)OC1=CC=CC(=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
97,CID100002118,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(CO)N)C3=CC=CC=C3
98,CID100002142,C1CC(N(C1)C(=O)C2=CC=C(C=C2)CSC3=CC=CC=N3)C4=CC=CC=N4
99,CID100002153,CC1=NN(C=C1Cl)CC(=O)NC(C2CC(C2)O)C3=C(C=C(C=C3)F)F
100,CID100002156,COC1=CC=CC(=C1OC)C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=C(C(=CC=C5)OC)OCCC6=CC7=C(C=C6)OCC7
101,CID100002160,CC1=CC2=C(C=C1)C(CC(O2)(C)C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
102,CID100002171,C1C2CN(CC1C3=CC=CC(=O)N3C2)C(=O)C4=NNC(=C4)C5=CC=C(S5)Br
103,CID100002173,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(COC)N)C3=CC=CC=C3
104,CID100002187,CC1=C(C(=NN1C)C)NC(=O)CNC2=CC=C3C(=CC2=O)C(CCC4=CC(=C(C(=C43)OC)OC)OC)NC(=O)C
105,CID100002249,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2C(=S)N)C3=CC=CC=C3
106,CID100002269,CN(CC1=NC(=NO1)C2=CC=CS2)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
107,CID100002284,CC1=CC2=C(C(CC(=O)O2)C3=C(C(=C(C=C3)OC)OC)OC)C(=O)O1
108,CID100002311,C1=CC=C(C=C1)C2C(C2(CO)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
109,CID100002369,CCOCC1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C#N
110,CID100002405,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)CN
111,CID100002471,COC1=C(C=C(C=C1)C(CC(=O)OC)C2=CC3=C(C=C2O)OCO3)OC
112,CID100002477,CC1=NC(=NN1)SCCNC(=O)C2CC(=O)N(C2)C3=CC(=CC=C3)F
113,CID100002478,CC(C)(C)OC(=O)NC1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)CN
114,CID100002520,CC(CC1=NC=CN=C1)N(C)C(=O)C2=NOC3=C2CCCC3
115,CID100002550,C1C2CN(CC1C3=CC=CC(=O)N3C2)C(=O)CC4=NNC(=O)C5=CC=CC=C54
116,CID100002554,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C(C)SC2=CC=CC=C2
117,CID100002576,CCC(C1=CC(=C(C=C1)OC)OC)NC(=O)C(C)SC2=CC=CC=C2
118,CID100002578,C1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)CO
119,CID100002617,CC1CCC(C(C1)OC(=O)CN2C(=O)OC(=N2)C3=CC=CO3)C(C)C
120,CID100002658,CC(C(=O)N(C)CC1=NC(=NO1)C2=CC=C(C=C2)OC)SC3=CC=CC=C3
121,CID100002662,C1CC(CN(C1)C2=NC=CC=N2)C(=O)NCC3CC4CC3C=C4
122,CID100002666,CC(C(=O)N(C)CC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)SC3=CC=CC=C3
123,CID100002678,COC1=C(C=C(C=C1)C(C2CC(C2)O)NC(=O)C3=CC(=O)C(=CN3)OC)F
124,CID100002713,CCOCC1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)C(=S)N
125,CID100002756,CC(C(=O)NCCCC1=CC=CC=C1OC)SCC2=CC=CC=C2
126,CID100002786,COC1=CC=C(C=C1)C2C(C2(CO)C#N)S(=O)(=O)C
127,CID100002802,CC(C)OC1=CC=CC(=C1)CCCNC(=O)C(C)SCC2=CC=CC=C2
128,CID100002812,COC1=CC=C(C=C1)C2C(C2(C#N)N)S(=O)(=O)C
129,CID100002891,CC1=CN(C(=O)NC1=O)CC(=O)NC(C2CC(C2)O)C3=CN=C(C=C3)OC
130,CID100002895,CC1=CN(C(=O)NC1=O)CC(=O)NC(C2CC(C2)O)C3=CN=C(C=C3)OC
131,CID100002955,COC1=CC=C(C=C1)C2C(C2(CN)CO)S(=O)(=O)C
132,CID100002978,C1CCC2(C1)CC(=O)N(C2=O)CCC(=O)NCC3CC4CC3C=C4
133,CID100003003,COCC1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)CN
134,CID100003032,COC(=O)CC(C1=CC=NC=C1)C2=C(C(=CNC2=O)C(=O)OC)O
135,CID100003108,CC(C(=O)N(C)CC1=NC(=NO1)C2=CC=C(C=C2)Cl)SCC3=CC=CC=C3
136,CID100003143,CC1=CC2=C(C(CC(=O)O2)C3=COC4=CC=CC=C4C3=O)C(=O)O1
137,CID100003148,CN1C=C(C2=CC=CC=C21)CC(=O)NC3CCCC4=C3NC5=C4C=C(C=C5)OC
138,CID100003152,CCOCC1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)N
139,CID100003154,COC1=CC(=C(C=C1)C2=NOC(=N2)CNC(=O)C3=CC=C(C=C3)CN4CCOCC4)OC
140,CID100003157,CC1=CC2=C(C(CC(=O)O2)C3=CC=CC=C3OCC(C)C)C(=O)N1CCC4=CC=C(C=C4)O
141,CID100003203,CCOCC1(C(C1S(=O)(=O)C)C2=CC=C(C=C2)OC)C(=S)N
142,CID100003222,COC(=O)CC(C1=CC2=C(C=C1)OCO2)C3=CC4=C(C=C3O)OCO4
143,CID100003249,CC1=CC2=C(C(CC(=O)O2)C3=CC=CC=C3OCC(=O)OC)C(=O)O1
144,CID100003305,C1CC(OC1)COCCCNC(=O)CC2CC3CCC2C3
145,CID100003310,C1CC(OC1)CN(CC2=CC=CC=N2)C(=O)C3=CC=CC(=C3)C4=CC=CO4
146,CID100003333,COC1=CC(=CC(=C1O)OC)C(CC(=O)OC)C2=C(C(=CNC2=O)C(=O)OC)O
147,CID100003339,CC1=CC2=C(C=C1)OC(CC2NC(=O)CCSC3=CC=CC=C3)(C)C
148,CID100003345,CC1=CC2=C(C=C1)C(CC(O2)(C)C)NC(=O)CCSC3=CC=CC=C3
149,CID100003350,CC(=C)COC1=C(C=C(C=C1)C(CC(=O)OC)C2=C(C3=CC=CC=C3OC2=O)O)OC
150,CID100003355,CCOC(=O)C1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)C(=O)OCC
151,CID100003385,CCS(=O)(=O)C1C(C1(CN)CN)C2=CC=C(C=C2)OC
152,CID100003386,CC1=NC(=NC=C1C(=O)N2CCC2C3=CC=C(C=C3)F)N
153,CID100003403,CCS(=O)(=O)C1C(C1(CN)CO)C2=CC=C(C=C2)OC
154,CID100003461,CCOCC1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)CN
155,CID100003463,COC1=CC(=CC2=C1OCCO2)C3CC(=O)OC4=C3C5=C(C=C4)C(=O)CC6(O5)CCCCC6
156,CID100003476,CCS(=O)(=O)C1C(C1C2=CC=C(C=C2)OC)CN
157,CID100003488,CN1C=C(C=N1)C(C2CC(C2)O)NC(=O)CCC3=CSC=C3
158,CID100003510,CCS(=O)(=O)C1C(C1(CO)N)C2=CC=C(C=C2)OC
159,CID100003516,CCS(=O)(=O)C1C(C1C2=CC=C(C=C2)OC)CO
160,CID100003559,CCC1=NC=CN1CCC(=O)NC(C2CC(C2)O)C3=CC=CC=N3
161,CID100003639,COC1=C(C=C(C=C1)C(C2CC(C2)O)NC3=C(C=CC=N3)C(=O)N)F
162,CID100003648,CCS(=O)(=O)C1C(C1C(=S)N)C2=CC=C(C=C2)OC
163,CID100003652,COC1=CC(=C(C=C1C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC6=C(C=C5)OCO6)OC)OC
164,CID100003661,CC1=C(C(=NN1CC(=O)NC(C2=CC=CC=C2)C3=NC=CN3C)C)C(=O)C
165,CID100003672,CN(C)C(=O)CC(C1=NN2CCN(CC2=C1)C(=O)CN3CCCCCC3)O
166,CID100003676,CN(C)C(=O)CC(C1=NN2CCN(CC2=C1)C(=O)CN3CCCCCC3)O
167,CID100003690,COCC(C1=CC=CC=N1)NC(=O)C2=CN=C(C=C2)N
168,CID100003702,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)C#N
169,CID100003715,C1COCC1CCCNC(=O)C2=CC=CC=C2C#N
170,CID100003746,C1C(=O)N(C(S1)C2=CC=C(C=C2)C(=O)NCCCC3=CC=C(C=C3)F)CC4=CC=CC=C4
171,CID100003749,CC1=CC=C(C=C1)OCCNC(=O)C2=CC=C(C=C2)C3N(C(=O)CS3)CC4=CC=CC=C4
172,CID100003750,COC1=CC=C(C=C1)C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC6=CC=CC=C6NC5=O
173,CID100003780,COC1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=CC=C3)C#N
174,CID100003793,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)C(=O)OCC
175,CID100003825,C1=CC=C(C=C1)CSCCNC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
176,CID100003877,C1C(CC1O)C(CC2=CC=CC=N2)NC(=O)CCCN3C=CC=N3
177,CID100003890,COCC1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)CN
178,CID100003899,CC1=CC=CC=C1C2=CC=CC(=C2)CN3CCCN4C(=CC(=N4)C(C)O)C3
179,CID100003954,CC1=CC(=CC=C1)CSCCNC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
180,CID100003961,COC(=O)CC(C1=CC=C(C=C1)O)C2=C(C(=O)C=C(O2)CN3CC4CC(C3)C5=CC=CC(=O)N5C4)O
181,CID100003962,CC1=C(C=C(C=C1)C(=O)OC)NC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
182,CID100004075,CC(C)(C)OC(=O)NC1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)C=O
183,CID100004091,COCC1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)C(=S)N
184,CID100004107,CCOCC1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)C(=S)N
185,CID100004112,COC1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=CC=C3)C(=S)N
