drug_id,drug_CID,drug_smile
186,CID100004158,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(C=O)C#N)C3=CC=C(C=C3)OC
187,CID100004170,CCC(C1CC(C1)O)NC(=O)C2=CC=C(C=C2)N(C)CCO
188,CID100004212,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(C#N)N)C3=CC=C(C=C3)OC
189,CID100004409,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(CO)N)C3=CC=C(C=C3)OC
190,CID100004463,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2C(=O)O)C3=CC=C(C=C3)OC
191,CID100004485,C1C(CC1O)C(C2=CC=CS2)NC(=O)C3=C(C=NC=C3)F
192,CID100004509,CN1C=CC2=C(C=CC=C21)C(=O)N3CCCCC3C4=CN=CC=C4
193,CID100004539,C1CC(NC1=O)(CCC(=O)NCC2=CC3=C(N2)C=CC(=C3)F)CCC(=O)O
194,CID100004585,COC1=CC=C(C=C1)C2C(C2(C#N)C#N)S(=O)(=O)C3=CC=C(C=C3)Cl
195,CID100004609,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OC)C#N
196,CID100004616,CC1=C(SC=N1)CCC(=O)NC(C2CC(C2)O)C3=CN(N=C3)C
197,CID100004635,CC1=CC2=C(C(CC(=O)O2)C3=CC4=C(C=C(C=C4)OC)NC3=O)C(=O)O1
198,CID100004666,COC1=CC=CC(=C1OC)C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC=NC6=CC=CC=C56
199,CID100004691,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OC)C(=O)OCC
200,CID100004812,CCN(CC)C(CNS(=O)(=O)N1CC(OC(C1)C)C)C2=CC=CC=C2Cl
201,CID100004889,C1COCCN1CC2=CC(=O)C(=C(O2)C(CC(=O)N)C3=CC=C(C=C3)O)O
202,CID100004917,COCCN1C=C(C2=CC=CC=C21)CCC(=O)N3CCCC4=CC5CC(C43)CN6C5CCCC6
203,CID100004927,CC1=CC=C(C=C1)OCC(C)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl
204,CID100004946,CCC(C)C(CO)NC(=O)C1CC(=O)N(C1)CCC2=CC=CC=C2
205,CID100004993,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl
206,CID100005002,CCOC(=O)CC1=C(C(=O)NN1)C(CC(=O)N)C2=CC3=C(C=C2)N(C(=O)N3C)C
207,CID100005005,CC1(C2CCC1(C(C2)NC(=O)C3CCN(CC3)S(=O)(=O)C4=C(N=CC=C4)Cl)C)C
208,CID100005029,CC1=CC(=O)OC2=C3C(CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC5=C(C=C4)OCCO5
209,CID100005035,CN(CC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Cl
210,CID100005095,CC1=CC2=C(C=C1)C(CC(O2)(C)C)NC(=O)C3=CC(=C(C(=C3)OC)OC)OC
211,CID100005152,CC(C)C1=CC=C(C=C1)CCCNC(=O)C2=CC(=C(C(=C2)OC)OC)OC
212,CID100005155,COC1=CC(=CC(=C1OC)OC)C(=O)NCCCN2CCCC3=CC=CC=C32
213,CID100005184,CCOC(=O)C1(C(C1S(=O)(=O)C)C2=CC3=C(C=C2)OCO3)N
214,CID100005203,CS(=O)(=O)C1C(C1(CN)CO)C2=CC3=C(C=C2)OCO3
215,CID100005212,CCC(C1=CC(=C(C=C1)C)C)NC(=O)C2=CC(=C(C=C2)[N+](=O)[O-])C
216,CID100005215,CCC(C1=CC(=C(C=C1)C)C)NC(=O)C2=CC(=C(C=C2)[N+](=O)[O-])C
217,CID100005245,CN1C(=CC=N1)C(CC(=O)OC)C2=C(C3=CC=CC=C3OC2=O)O
218,CID100005253,CCOCC1(C(C1S(=O)(=O)C)C2=CC3=C(C=C2)OCO3)CN
219,CID100005291,CCOC1=C(C=C(C=C1)CNC(=O)C(C)SC2=CC=C(C=C2)C)OCC
220,CID100005391,CC(C)(C)OC(=O)NC1(C(C1S(=O)(=O)C)C2=CC3=C(C=C2)OCO3)C=O
221,CID100005394,CCOC1=CC=C(C=C1)CCCNC(=O)C(C)SC2=CC=C(C=C2)C
222,CID100005401,CC1=C(C2=C(C=C1)NC(=N2)CCC(=O)NC(C)CC3=NC=CN=C3)C
223,CID100005426,CC(C)C(CO)NC(=O)C1CC(=O)N(C1)CC2=CC=CC=C2
224,CID100005496,CC1=CC=C(C=C1)SC(C)C(=O)NC(C)C2=CC(=C(C=C2)C)C
225,CID100005512,CCC(C1=CC(=C(C=C1)C)C)NC(=O)C(C)SC2=CC=C(C=C2)C
226,CID100005523,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C(C)SC2=CC=C(C=C2)C
227,CID100005544,CSCCC(CO)NC(=O)C1CCN(CC1)C2=NC=CC=N2
228,CID100005556,CCC1=NC=CN1CC(=O)N2CCCCC2CCN3C=CC=N3
229,CID100005647,C1CCC2=C(C1)C=CC(=C2)C(=O)N3CCCC(C3)C4=NC=NC=C4
230,CID100005650,CC1=CC=C(C=C1)SC(C)C(=O)NCCCN2CCCC3=CC=CC=C32
231,CID100005656,CN1C(=CC=N1)C(C2=NN3CCN(CC3=C2)CC4=NN=C(S4)OC)O
232,CID100005672,CC1=C(C(=NO1)C)C2CCCN2C(=O)C3=CC4=C(C=C3)NC(=O)C(=O)N4
233,CID100005735,CC1=C(SC2=NCCN12)C(=O)N3CCCC(C3)C4=CC=C(C=C4)Cl
234,CID100005746,CC1=CC=C(C=C1)SCCC(=O)NC2CC(OC3=C2C=CC(=C3)C)(C)C
235,CID100005978,C1OC2=C(O1)C=C(C=C2)C3C(C3(CN)N)S(=O)(=O)C4=CC=CC=C4
236,CID100010631,CCOC1=CC=C(C=C1)N(C(C)C(=O)N2CCC(CC2)CC3=CC=CC=C3)S(=O)(=O)C
237,CID100019090,CC1CC=CCC1COC(=O)C2CCC=CC2
238,CID100038904,CC1=NN=C(O1)CNC(=O)C2CCCCN2C(=O)OC
239,CID100041774,CCOC1=CC=CC=C1C(=O)N2CCC(SCC2)C3=CC=CS3
240,CID100054688,CC1=CC(=CC=C1)CCCNC(=O)C(C)N(C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C
241,CID100060184,CCC(C(=O)NC(C)C1=C(C=C(C=C1)C)C)N(C2=CC=CC(=C2)C)S(=O)(=O)C
242,CID100060198,C1CCN(C(C1)C(=O)NCCN2CCNC2=O)CC3=CC=CC=C3
243,CID100060843,CCC1=CC=CC=C1NC(=O)C(CC)N(C2=CC(=CC(=C2)C)C)S(=O)(=O)C
244,CID100060852,CCC(C(=O)NC1=CC=C(C=C1)Cl)N(C2=CC(=CC(=C2)C)C)S(=O)(=O)C
245,CID100060953,CCC(C(=O)NCC1=C(C=C(C=C1)Cl)Cl)N(C2=CC(=CC(=C2)C)C)S(=O)(=O)C
246,CID100065999,CC1=CC(=C(N1C)C)C(=O)NCC(C2=CC=CC=N2)N3CCOCC3
247,CID100068740,CCNC(=O)NNC(=O)C=CC1=CC=C(C=C1)OCC2=CC=CC=N2
248,CID100071616,CC1=CC=CC=C1C2CCCN2CC(COC(C)C)O
249,CID100093860,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2CCC(CC2)N3C(=O)C4C5C=CC(C4C3=O)C6C5C6
250,CID100123631,CCC1=CC(=C(C=C1)CC)CNC(=O)C2=C(C=C(C=C2)Cl)F
251,CID100125889,CC(C)CNC(=O)C(CC1=CC=CC=C1)N(CC2=CC(=CC=C2)Cl)C(=O)CCCN(C3=CC4=C(C=C3)OCCO4)S(=O)(=O)C
252,CID100130881,CCC1CSC2=NC(C(N12)C3=C(N(C(=C3)C)C4=CC=C(C=C4)Br)C)C5=CC=CC=N5
253,CID100147912,CC(C(=O)NCC1=CC=CC=C1)N(CC2=CC=C(C=C2)Cl)C(=O)CCC3=CC=C(C=C3)S(=O)(=O)NC4CC4
254,CID100148192,CC(C(=O)NC(C)(C)C)N(CC1=CC=CC=C1Cl)C(=O)CN(C2=C(C=CC(=C2)Cl)Cl)S(=O)(=O)C3=CC=CC=C3
255,CID100148211,C1CC(CN(C1)S(=O)(=O)CC2=CC=C(C=C2)Cl)C(=O)NCC3=CC4=CC=CC=C4C=C3
256,CID100151165,CCC1=NOC(=N1)C2=CN=C(N=C2N3CCCC(C3)C(=O)NCC4=CSC(=N4)CC)C
257,CID100152945,CC(C)N1C(C(NC1=S)C2=CC=CC=N2)C3=CC=CN3C4=NC=C(C=C4)Cl
258,CID100176870,CCCCNC(=O)C(C)N(CC1=CC=CC=C1C)C(=O)CC2=CC=CC=C2[N+](=O)[O-]
259,CID100213039,CCN1C(=CC(=C1C)C2C(NC(=S)N2CCCN(C)C)C3=CC=CC=N3)C
260,CID100216326,CC1=CC=C(C=C1)OCC(C)NS(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)OC
261,CID100667490,CN(CCC1CCCO1)CC(=O)NC2=CC=CC=C2Br
262,CID103062316,C1CSCC1NC2=C(C=C(C=C2)N)F
263,CID105353980,CCC(C(=O)N)SC(C(C)C)C(=O)O
264,CID100000158,CC(C)(C)OC(=O)NC1(CC1S(=O)(=O)C2=CC=C(C=C2)Cl)CN
265,CID100000159,CC(C)C1=CC(=NO1)C2CCCN2C(=O)CN(C)CC3=CN=CC=C3
266,CID100003382,CCOC(=O)C1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)N
267,CID100004178,CC(C1CCN(CC1)C(=O)CN2C=CC(=O)C=C2)N3CCCC3
268,CID100004411,CC1=CC(=O)OC2=C3C(CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC5=C(C=C4)N=CC=C5
269,CID100041781,CCC1=CC2=C(C=C1)N(S(=O)(=O)C3=CC=CC=C32)CC(=O)NC(C)C4=C(C=CC(=C4)C)C
270,CID100104865,CCOC1=CC=CC=C1N(CC(=O)N(CC2=CC=CC(=C2)C)C(CC3=CC=CC=C3)C(=O)NCC(C)C)S(=O)(=O)C4=CC=C(C=C4)SC
271,CID100145068,CC1=CC=C(C=C1)CSCC(=O)N(CC2=CC(=CC=C2)Br)C(CC3=CC=CC=C3)C(=O)NCC(C)C
272,CID100197712,CC1=CC(=CC=C1)OCC(=O)N(CCC2=CC=CC=C2)C(C)C(=O)NC(C)(C)C
273,CID100000191,CC(CNS(=O)(=O)C1=CC(=C(C=C1)OC)C(=O)N)(C2=CC3=CC=CC=C3O2)O
274,CID100000838,CC1=CC(=C(C(=O)N1CCC2=CC=C(C=C2)O)C(CC(=O)OC)C3=CC=NC4=CC=CC=C34)O
275,CID100004053,CCOCC1(C(C1S(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC)N
276,CID100005064,CS(=O)(=O)C1C(C1(C#N)C#N)C2=CC3=C(C=C2)OCO3
277,CID100002474,C1=CC=C(C=C1)C2C(C2(CN)N)S(=O)(=O)C3=CC=C(C=C3)Cl
278,CID100003279,CC1=CC=C(C=C1)OCCNC(=O)CCSC2=CC=CC=C2
279,CID100003414,CCS(=O)(=O)C1C(C1(CN)C(=O)O)C2=CC=C(C=C2)OC
280,CID100003658,CCS(=O)(=O)C1C(C1C(=S)N)C2=CC=C(C=C2)OC
281,CID100003706,CN(CC1=NC(=NO1)C2=CC=C(C=C2)Cl)C(=O)CCSC3=CC=C(C=C3)Cl
282,CID100003826,C1COCCN1CC2=CC(=O)C(=C(O2)C(CC(=O)N)C3=CC=NC4=CC=CC=C34)O
283,CID100004513,C1CCN(C(C1)C2=CN=CC=C2)C(=O)CCC3C(=O)N(C(=O)N3)CC4=CC=CO4
284,CID100005726,CN1C=C(C=N1)C(C2CC(C2)O)NC(=O)CCC3=NC4=CC=CC=C4N3
285,CID100074989,C1CC(OC1)CN(CC2=CC=CO2)C(=O)C=CC3=CC=CC4=C3N=CC=C4
286,CID105381226,CC1CC2=CC=CC=C2N(C1)C(=O)C3=C(C(=NC=C3)F)F
287,CID100000214,CC1=CC2=C(C(CC(=O)O2)C3=CC4=C(C(=C3)OC)OCCO4)C(=O)N1CCC5=CC=C(C=C5)O
288,CID100003308,CC1=CC(=O)OC2=C3C(CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC(=C(C=C4)OC)OCC(=O)N
289,CID100003821,C1=CC=C(C=C1)C(=CC2=CC=CO2)C(=O)NCCSC3=CC=C(C=C3)Cl
290,CID100004192,CC1(CC(C2=C(O1)C=CC(=C2)OC)NC(=O)C(=CC3=CC=CO3)C4=CC=CC=C4)C
291,CID100004506,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2N)C3=CC=C(C=C3)OC
292,CID100004675,CN(CC(COC)O)C(=O)C=CC1=CC2=C(C=C1)OCC2
293,CID100004885,CC1=CC2=C(C(CC(=O)O2)C3=CC(=C(C=C3OC)OC)OC)C(=O)N1CCC4=CC=C(C=C4)O
294,CID100005206,CS(=O)(=O)C1C(C1(CN)CO)C2=CC3=C(C=C2)OCO3
295,CID100060612,CC(C)(C)N1C=CC(=C1)C(=O)N2CCCC(C2)C3=CC=CC=C3
296,CID100110634,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2OC3=CC=CC=C3)N4CCCCS4(=O)=O
297,CID100110635,CC1CN2C(C(N=C2S1)C3=CC=CC=N3)C4=CC(=C(C(=C4)OC)O)[N+](=O)[O-]
298,CID100000861,CC1CCN(CC1)C2=CC=C(C=C2)C(C)NC(=O)CSCC3=CC=CC=C3C
299,CID100001065,CCS(=O)(=O)C1C(C1C2=CC=CC=C2)C#N
300,CID100002522,COC(=O)CC(C1=CN=CC=C1)C2=C(C(=CNC2=O)C(=O)OC)O
301,CID100002610,COC1=CC(=C(C=C1)N2CC(CC2=O)C(=O)N3CCCCC3C4=CN=CC=C4)OC
302,CID100003419,CCS(=O)(=O)C1C(C1(CN)N)C2=CC=C(C=C2)OC
303,CID100003637,CCOCC1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)C(=S)N
304,CID100003736,CC1=CC(=C(C=C1)C)C(C)NC(=O)C2=CC=C(C=C2)C3N(C(=O)CS3)CC4=CC=CC=C4
305,CID100003784,CC1=CC=C(O1)C(C2=C(N3C(=NC(=N3)C)S2)O)N4CC5CC(C4)C6=CC=CC(=O)N6C5
306,CID100003869,COC1=CC=C(C=C1)C2C(C2(CN)N)S(=O)(=O)C3=CC=CC=C3
307,CID100004034,CCS(=O)(=O)NC1=CC=C(C=C1)C(=O)NC(C)C2=NN=C(O2)C(C)C
308,CID100004195,CC1(CC(C2=C(O1)C=CC(=C2)OC)NC(=O)C(=CC3=CC=CO3)C4=CC=CC=C4)C
309,CID100004201,C1C2CC(C1C=C2)CNC(=O)CCC3=NC(=NO3)C4=CC=NC=C4
310,CID100004259,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=C(C=C3)OC)C(=O)OCC
311,CID100004264,CCC(C1CC(C1)O)NC(=O)C2=CC=CC(=C2)C3=CC=C(O3)C
312,CID100004547,CC1=CC=CC=C1OCC(C)NC(=O)CSCC2=CC=C(C=C2)OC
313,CID100004603,CCOC(=O)C1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OC)C#N
314,CID100005040,COC1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)C(=S)N
315,CID100005358,CC1=CC=C(C=C1)SC(C)C(=O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3
316,CID100005376,CC1=CC=C(C=C1)SC(C)C(=O)NCCCC2=CC=C(C=C2)OC(C)C
317,CID100005379,CC1=CC=C(C=C1)SC(C)C(=O)NC2=CC=C(C=C2)OC3CCCC3
318,CID100005533,CCS(=O)(=O)C1C(C1C2=CC3=C(C=C2)OCO3)C#N
319,CID100060754,CCC(C1=CC=C(C=C1)C)NC(=O)C(CC)N(C2=C(C=CC(=C2)C)C)S(=O)(=O)C
320,CID100064147,C1CC(CN(C1)C(=O)CN2C=NC3=CC=CC=C32)CC4=NC(=NO4)C5CC5
321,CID100444013,C1=CC=C(C(=C1)N2C(C(NC2=S)C3=CC=CC=N3)C4=CC=CN4)O
322,CID100000298,CN(CC1=NC(=NO1)C2=CC=CS2)C(=O)C3=CC=C(C=C3)CSC4=CC=CC=C4
323,CID100003255,COC(=O)CC(C1=CSC=C1)C2=C(C(=O)C(=C(C2=O)O)C(CC(=O)OC)C3=CSC=C3)O
324,CID100003394,C1C2CN(CC1C3=CC=CC(=O)N3C2)C(=O)C4CC(=O)N(C4)CC5=CC=CC=C5
325,CID100004834,COC1=CC(=C(C=C1C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC=C(C=C5)SC)OC)OC
326,CID100005478,CCOC(=O)C1(C(C1S(=O)(=O)CC)C2=CC3=C(C=C2)OCO3)C#N
327,CID100005578,CCC(C)C(CO)NC(=O)CCC1=NN=C(O1)C2=CC=CC=C2
328,CID100001206,CC1=CC(=C(C(=O)O1)C(CC(=O)OC)C2=CC(=C(C=C2OC)OC)OC)O
329,CID100002092,CC(C)OC1=CC=C(C=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
330,CID100002099,CN1C=C(C2=CC=CC=C21)CC(=O)N3CCCC4=CC5CC(C43)CN6C5CCCC6
331,CID100002130,CC1=CC=CC=C1OCC(C)NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-]
332,CID100002141,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(C(=O)O)N)C3=CC=CC=C3
333,CID100002267,COC1=CC=C(C=C1)C=C2C(=O)C3=C(O2)C4=C(C=C3)OC(=O)CC4C5=CC(=CC=C5)OCCC6=CC7=C(C=C6)OCC7
334,CID100002375,C1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)C#N
335,CID100002435,C1=CC=C(C=C1)C2C(C2(CN)CN)S(=O)(=O)C3=CC=C(C=C3)Cl
336,CID100002476,CC1=CC2=C(C=C1)OC(CC2NC(=O)C(C)SC3=CC=CC=C3)(C)C
337,CID100002487,CC1=CC2=C(C=C1)C(CC(O2)(C)C)NC(=O)C(C)SC3=CC=CC=C3
338,CID100002512,CC(C(=O)NC1CC(OC2=C1C=CC(=C2)OC)(C)C)SC3=CC=CC=C3
339,CID100002609,CC(C(=O)NCC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)SC3=CC=CC=C3
340,CID100002646,COCC1(C(C1S(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3)N
341,CID100002726,CC(C)CC(CC(=O)OC)C1=C(C(=CNC1=O)C(=O)OC)O
342,CID100002733,C1=CC=C(C=C1)C2C(C2S(=O)(=O)C3=CC=C(C=C3)Cl)C=O
343,CID100002749,COC1=CC=C(C=C1)C2C(C2(C#N)C#N)S(=O)(=O)C
344,CID100002801,COC1=CC=C(C=C1)C2C(C2(C#N)C(=O)O)S(=O)(=O)C
345,CID100002818,COC1=CC=C(C=C1)C2C(C2(C#N)N)S(=O)(=O)C
346,CID100003007,CCC(C1=CC=C(C=C1)S(=O)(=O)C)NC(=O)C(C)SCC2=CC=CC=C2
347,CID100003008,CC1=CC(=C(C(=O)N1CCC2=CC=C(C=C2)O)C(CC(=O)OC)C3=CC(=C(C=C3)OC)CO)O
348,CID100003042,COC(=O)CC(C1=CC2=C3C(=CC=C2)CCCN3C1=O)C4=C(C(=O)C(=C(C4=O)O)C(CC(=O)OC)C5=CC6=C7C(=CC=C6)CCCN7C5=O)O
349,CID100003059,CC1=CC2=C(C(CC(=O)O2)C3=CC(=C(C(=C3)OC)OC(=O)C)OC)C(=O)N1CCC4=CC=C(C=C4)O
350,CID100003158,C1COCCN1CC2=CC=C(C=C2)C(=O)NCC3=NC(=NO3)C4=CC=C(C=C4)Cl
351,CID100003261,COC1=CC=CC=C1CCCNC(=O)CCSC2=CC=CC=C2
352,CID100003324,CCS(=O)(=O)C1C(C1(COC)C#N)C2=CC=C(C=C2)OC
353,CID100003372,CCOC(=O)C1(C(C1S(=O)(=O)CC)C2=CC=C(C=C2)OC)CN
354,CID100003393,CCC(C1=CC(=C(C=C1)C)C)NC(=O)CCSC2=CC=CC=C2
355,CID100003404,CC1=CC2=C(C(CC(=O)O2)C3=COC4=C(C3=O)C=C(C=C4)Cl)C(=O)N1CCC5=CC=C(C=C5)O
356,CID100003410,CCC(C1=CC=C(C=C1)S(=O)(=O)C)NC(=O)CCSC2=CC=CC=C2
357,CID100003449,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)N3CCCCC3C4=CN=CC=C4
358,CID100003494,CCS(=O)(=O)C1C(C1(CO)C(=O)O)C2=CC=C(C=C2)OC
359,CID100003657,CC1=CC(=CC=C1)C2=NOC(=N2)CNC(=O)CCSC3=CC=C(C=C3)Cl
360,CID100003767,CC(C)C(CO)NC(=O)C1=CNC(=O)C2=CC=CC=C21
361,CID100003823,C1COCCN1CC2=CC(=O)C(=C(O2)C(CC(=O)N)C3=CC=NC4=CC=CC=C34)O
362,CID100003902,COC1=C(C=C(C=C1)C(=O)C2=COC3=C2C(=C(C=C3)O)CN4CCN(CC4)C5=CC=CC=C5)OC
363,CID100004054,C1CCN(C(C1)C2=CN=CC=C2)C(=O)COC3=CC4=C(CCC(=O)N4)C=C3
364,CID100004058,CCC1CCCCN1CC(=O)N(C)CC2=NC=CN=C2
365,CID100004095,C1CN2C(=CC(=N2)C(CO)O)CN1CC3=CC=C(C=C3)OC4=CC=CC=C4
366,CID100004189,CC1=CC=C(C=C1)S(=O)(=O)C2C(C2(C#N)C(=O)O)C3=CC=C(C=C3)OC
367,CID100004236,CCC(C1=CC=C(C=C1)S(=O)(=O)C)NC(=O)C(=CC2=CC=CO2)C3=CC=CC=C3
